立委,行程日期,開始時間（選填）,結束時間（選填）,行程分類,行程名稱,行程敘述（選填）,相關連結（選填）,行程地點,geocode,lat,lon,媒體類型（選填）,媒體連結（選填）
吳秉叡,2017-1-29,9:00,,地方事務,金雞迎幸運，大秉送小餅,,https://www.facebook.com/Wubray/posts/1408862349144331,新莊－地藏庵(大眾廟),"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""84"",
               ""short_name"" : ""84"",
               ""types"" : [ ""street_number"" ]
            },
            {
               ""long_name"" : ""中正路"",
               ""short_name"" : ""中正路"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""新莊區"",
               ""short_name"" : ""新莊區"",
               ""types"" : [ ""administrative_area_level_3"", ""political"" ]
            },
            {
               ""long_name"" : ""新北市"",
               ""short_name"" : ""新北市"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""台灣"",
               ""short_name"" : ""TW"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""24243"",
               ""short_name"" : ""24243"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""24243台灣新北市新莊區中正路84號"",
         ""geometry"" : {
            ""location"" : {
               ""lat"" : 25.0377963,
               ""lng"" : 121.4567329
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 25.0391452802915,
                  ""lng"" : 121.4580818802915
               },
               ""southwest"" : {
                  ""lat"" : 25.0364473197085,
                  ""lng"" : 121.4553839197085
               }
            }
         },
         ""place_id"" : ""ChIJL8wg1HGoQjQRx8ECG7ohlvs"",
         ""types"" : [ ""establishment"", ""place_of_worship"", ""point_of_interest"" ]
      }
   ],
   ""status"" : ""OK""
}
",25.0377963,121.4567329,,
吳秉叡,2017-1-29,10:15,,地方事務,金雞迎幸運，大秉送小餅,,https://www.facebook.com/Wubray/posts/1408862349144331,三重－義天宮,"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""150號"",
               ""short_name"" : ""150號"",
               ""types"" : [ ""street_number"" ]
            },
            {
               ""long_name"" : ""車路頭街"",
               ""short_name"" : ""車路頭街"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""三重區"",
               ""short_name"" : ""三重區"",
               ""types"" : [ ""administrative_area_level_3"", ""political"" ]
            },
            {
               ""long_name"" : ""新北市"",
               ""short_name"" : ""新北市"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""台灣"",
               ""short_name"" : ""TW"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""241"",
               ""short_name"" : ""241"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""241台灣新北市三重區車路頭街150號"",
         ""geometry"" : {
            ""location"" : {
               ""lat"" : 25.0762573,
               ""lng"" : 121.4838515
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 25.0776062802915,
                  ""lng"" : 121.4852004802915
               },
               ""southwest"" : {
                  ""lat"" : 25.07490831970849,
                  ""lng"" : 121.4825025197085
               }
            }
         },
         ""place_id"" : ""ChIJhQltbtqoQjQRLf5RqAI3as4"",
         ""types"" : [ ""establishment"", ""place_of_worship"", ""point_of_interest"" ]
      }
   ],
   ""status"" : ""OK""
}
",25.0762573,121.4838515,,
吳秉叡,2017-1-29,11:10,,地方事務,金雞迎幸運，大秉送小餅,,https://www.facebook.com/Wubray/posts/1408862349144331,板橋－慈惠宮,"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""81"",
               ""short_name"" : ""81"",
               ""types"" : [ ""street_number"" ]
            },
            {
               ""long_name"" : ""挹秀里1鄰府中路"",
               ""short_name"" : ""挹秀里1鄰府中路"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""板橋區"",
               ""short_name"" : ""板橋區"",
               ""types"" : [ ""administrative_area_level_3"", ""political"" ]
            },
            {
               ""long_name"" : ""新北市"",
               ""short_name"" : ""新北市"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""台灣"",
               ""short_name"" : ""TW"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""220"",
               ""short_name"" : ""220"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""220台灣新北市板橋區挹秀里1鄰府中路81號"",
         ""geometry"" : {
            ""location"" : {
               ""lat"" : 25.0094029,
               ""lng"" : 121.45743
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 25.0107518802915,
                  ""lng"" : 121.4587789802915
               },
               ""southwest"" : {
                  ""lat"" : 25.00805391970849,
                  ""lng"" : 121.4560810197085
               }
            }
         },
         ""place_id"" : ""ChIJ07jHVh2oQjQRhSsLrHw_s5g"",
         ""types"" : [ ""establishment"", ""place_of_worship"", ""point_of_interest"" ]
      }
   ],
   ""status"" : ""OK""
}
",25.0094029,121.45743,,
吳秉叡,2017-1-29,11:20,,地方事務,金雞迎幸運，大秉送小餅,,https://www.facebook.com/Wubray/posts/1408862349144331,板橋－接雲寺,"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""69號"",
               ""short_name"" : ""69號"",
               ""types"" : [ ""street_number"" ]
            },
            {
               ""long_name"" : ""西門街"",
               ""short_name"" : ""西門街"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""板橋區"",
               ""short_name"" : ""板橋區"",
               ""types"" : [ ""administrative_area_level_3"", ""political"" ]
            },
            {
               ""long_name"" : ""新北市"",
               ""short_name"" : ""新北市"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""台灣"",
               ""short_name"" : ""TW"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""220"",
               ""short_name"" : ""220"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""220台灣新北市板橋區西門街69號"",
         ""geometry"" : {
            ""location"" : {
               ""lat"" : 25.0088831,
               ""lng"" : 121.4544231
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 25.0102320802915,
                  ""lng"" : 121.4557720802915
               },
               ""southwest"" : {
                  ""lat"" : 25.0075341197085,
                  ""lng"" : 121.4530741197085
               }
            }
         },
         ""place_id"" : ""ChIJV_MJLagCaDQRnbElADCuSu0"",
         ""types"" : [ ""establishment"", ""place_of_worship"", ""point_of_interest"" ]
      }
   ],
   ""status"" : ""OK""
}
",25.0088831,121.4544231,,
吳秉叡,2017-1-29,11:40,,地方事務,金雞迎幸運，大秉送小餅,,https://www.facebook.com/Wubray/posts/1408862349144331,蘆洲－湧蓮寺,"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""96號"",
               ""short_name"" : ""96號"",
               ""types"" : [ ""street_number"" ]
            },
            {
               ""long_name"" : ""得勝街"",
               ""short_name"" : ""得勝街"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""蘆洲區"",
               ""short_name"" : ""蘆洲區"",
               ""types"" : [ ""administrative_area_level_3"", ""political"" ]
            },
            {
               ""long_name"" : ""新北市"",
               ""short_name"" : ""新北市"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""台灣"",
               ""short_name"" : ""TW"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""247"",
               ""short_name"" : ""247"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""247台灣新北市蘆洲區得勝街96號"",
         ""geometry"" : {
            ""location"" : {
               ""lat"" : 25.0832607,
               ""lng"" : 121.4713551
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 25.0846096802915,
                  ""lng"" : 121.4727040802915
               },
               ""southwest"" : {
                  ""lat"" : 25.0819117197085,
                  ""lng"" : 121.4700061197085
               }
            }
         },
         ""place_id"" : ""ChIJw9nYp8moQjQR7bB0v5nJ8YU"",
         ""types"" : [ ""establishment"", ""place_of_worship"", ""point_of_interest"" ]
      }
   ],
   ""status"" : ""OK""
}
",25.0832607,121.4713551,,
吳秉叡,2017-1-29,14:00,,地方事務,金雞迎幸運，大秉送小餅,,https://www.facebook.com/Wubray/posts/1408862349144331,林口－竹林山寺,"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""325"",
               ""short_name"" : ""325"",
               ""types"" : [ ""street_number"" ]
            },
            {
               ""long_name"" : ""竹林路"",
               ""short_name"" : ""竹林路"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""林口區"",
               ""short_name"" : ""林口區"",
               ""types"" : [ ""administrative_area_level_3"", ""political"" ]
            },
            {
               ""long_name"" : ""新北市"",
               ""short_name"" : ""新北市"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""台灣"",
               ""short_name"" : ""TW"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""24443"",
               ""short_name"" : ""24443"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""24443台灣新北市林口區竹林路325號"",
         ""geometry"" : {
            ""location"" : {
               ""lat"" : 25.0836361,
               ""lng"" : 121.3893431
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 25.0849850802915,
                  ""lng"" : 121.3906920802915
               },
               ""southwest"" : {
                  ""lat"" : 25.0822871197085,
                  ""lng"" : 121.3879941197085
               }
            }
         },
         ""place_id"" : ""ChIJVbKEHfKmQjQRWCVoZUAv12M"",
         ""types"" : [ ""establishment"", ""place_of_worship"", ""point_of_interest"" ]
      }
   ],
   ""status"" : ""OK""
}
",25.0836361,121.3893431,,
吳秉叡,2017-1-28,8:50,,地方事務,金雞迎幸運，大秉送小餅,,https://www.facebook.com/media/set/?set=a.1407087602655139.1073741839.154631861234059&type=3,板橋－接雲寺,"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""69號"",
               ""short_name"" : ""69號"",
               ""types"" : [ ""street_number"" ]
            },
            {
               ""long_name"" : ""西門街"",
               ""short_name"" : ""西門街"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""板橋區"",
               ""short_name"" : ""板橋區"",
               ""types"" : [ ""administrative_area_level_3"", ""political"" ]
            },
            {
               ""long_name"" : ""新北市"",
               ""short_name"" : ""新北市"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""台灣"",
               ""short_name"" : ""TW"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""220"",
               ""short_name"" : ""220"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""220台灣新北市板橋區西門街69號"",
         ""geometry"" : {
            ""location"" : {
               ""lat"" : 25.0088831,
               ""lng"" : 121.4544231
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 25.0102320802915,
                  ""lng"" : 121.4557720802915
               },
               ""southwest"" : {
                  ""lat"" : 25.0075341197085,
                  ""lng"" : 121.4530741197085
               }
            }
         },
         ""place_id"" : ""ChIJV_MJLagCaDQRnbElADCuSu0"",
         ""types"" : [ ""establishment"", ""place_of_worship"", ""point_of_interest"" ]
      }
   ],
   ""status"" : ""OK""
}
",25.0088831,121.4544231,,
吳秉叡,2017-1-28,10:50,,地方事務,金雞迎幸運，大秉送小餅,,https://www.facebook.com/media/set/?set=a.1407087602655139.1073741839.154631861234059&type=3,土城－五穀先帝宮(神農宮),"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""和平路"",
               ""short_name"" : ""和平路"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""土城區"",
               ""short_name"" : ""土城區"",
               ""types"" : [ ""administrative_area_level_3"", ""political"" ]
            },
            {
               ""long_name"" : ""台灣"",
               ""short_name"" : ""TW"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""236"",
               ""short_name"" : ""236"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""236台灣土城區和平路"",
         ""geometry"" : {
            ""location"" : {
               ""lat"" : 24.971603,
               ""lng"" : 121.444421
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 24.9729519802915,
                  ""lng"" : 121.4457699802915
               },
               ""southwest"" : {
                  ""lat"" : 24.9702540197085,
                  ""lng"" : 121.4430720197085
               }
            }
         },
         ""place_id"" : ""ChIJdegywyodaDQRmQQTNPz2Lqw"",
         ""types"" : [ ""establishment"", ""place_of_worship"", ""point_of_interest"" ]
      }
   ],
   ""status"" : ""OK""
}
",24.971603,121.444421,,
吳秉叡,2017-1-28,12:15,,地方事務,金雞迎幸運，大秉送小餅,,https://www.facebook.com/media/set/?set=a.1407087602655139.1073741839.154631861234059&type=3,汐止－濟德宮(媽祖廟),"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""239"",
               ""short_name"" : ""239"",
               ""types"" : [ ""street_number"" ]
            },
            {
               ""long_name"" : ""中正路"",
               ""short_name"" : ""中正路"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""汐止區"",
               ""short_name"" : ""汐止區"",
               ""types"" : [ ""administrative_area_level_3"", ""political"" ]
            },
            {
               ""long_name"" : ""新北市"",
               ""short_name"" : ""新北市"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""台灣"",
               ""short_name"" : ""TW"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""221"",
               ""short_name"" : ""221"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""221台灣新北市汐止區中正路239號"",
         ""geometry"" : {
            ""location"" : {
               ""lat"" : 25.0686151,
               ""lng"" : 121.6576436
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 25.06996408029151,
                  ""lng"" : 121.6589925802915
               },
               ""southwest"" : {
                  ""lat"" : 25.0672661197085,
                  ""lng"" : 121.6562946197085
               }
            }
         },
         ""place_id"" : ""ChIJx3TLqhRTXTQRQEdF6Mai3dM"",
         ""types"" : [ ""establishment"", ""place_of_worship"", ""point_of_interest"" ]
      }
   ],
   ""status"" : ""OK""
}
",25.0686151,121.6576436,,
吳秉叡,2017-1-28,13:20,,地方事務,金雞迎幸運，大秉送小餅,,https://www.facebook.com/media/set/?set=a.1407087602655139.1073741839.154631861234059&type=3,新店－咸亨宮,"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""2"",
               ""short_name"" : ""2"",
               ""types"" : [ ""street_number"" ]
            },
            {
               ""long_name"" : ""自由街"",
               ""short_name"" : ""自由街"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""新店"",
               ""short_name"" : ""新店"",
               ""types"" : [ ""neighborhood"", ""political"" ]
            },
            {
               ""long_name"" : ""新店區"",
               ""short_name"" : ""新店區"",
               ""types"" : [ ""administrative_area_level_3"", ""political"" ]
            },
            {
               ""long_name"" : ""新北市"",
               ""short_name"" : ""新北市"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""台灣"",
               ""short_name"" : ""TW"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""231"",
               ""short_name"" : ""231"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""市立 圖書 館 百 忍 分館 號, No. 2自由街新店區新北市台灣 231"",
         ""geometry"" : {
            ""location"" : {
               ""lat"" : 24.9753021,
               ""lng"" : 121.5354681
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 24.9766510802915,
                  ""lng"" : 121.5368170802915
               },
               ""southwest"" : {
                  ""lat"" : 24.9739531197085,
                  ""lng"" : 121.5341191197085
               }
            }
         },
         ""place_id"" : ""ChIJy8vU3R0CaDQRlgfOhDbeQIc"",
         ""types"" : [ ""establishment"", ""place_of_worship"", ""point_of_interest"" ]
      },
      {
         ""address_components"" : [
            {
               ""long_name"" : ""3樓"",
               ""short_name"" : ""3樓"",
               ""types"" : [ ""floor"" ]
            },
            {
               ""long_name"" : ""2"",
               ""short_name"" : ""2"",
               ""types"" : [ ""street_number"" ]
            },
            {
               ""long_name"" : ""自由街"",
               ""short_name"" : ""自由街"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""新店區"",
               ""short_name"" : ""新店區"",
               ""types"" : [ ""administrative_area_level_3"", ""political"" ]
            },
            {
               ""long_name"" : ""新北市"",
               ""short_name"" : ""新北市"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""台灣"",
               ""short_name"" : ""TW"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""231"",
               ""short_name"" : ""231"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""231台灣新北市新店區自由街2號3樓"",
         ""geometry"" : {
            ""location"" : {
               ""lat"" : 24.9751732,
               ""lng"" : 121.5353957
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 24.9765221802915,
                  ""lng"" : 121.5367446802915
               },
               ""southwest"" : {
                  ""lat"" : 24.9738242197085,
                  ""lng"" : 121.5340467197085
               }
            }
         },
         ""place_id"" : ""ChIJT63Y3R0CaDQRYLyXpQwTfYc"",
         ""types"" : [ ""establishment"", ""library"", ""point_of_interest"" ]
      }
   ],
   ""status"" : ""OK""
}
",24.9753021,121.5354681,,
